difficulty	writtenForm	reading	writtenFormWrongAnswers	readingWrongAnswers
1	馬	うま	鳥|烏	とり|からす
1	牛	うし	午|生	ひる|いきる
1	傘	かさ	卒|率	そつ|りつ
1	枷	かせ	架|加	かける|くわえる
1	塀	へい	堀|犀	ほり|さい
1	餌	えさ	耳|茸	みみ|きのこ
1	渦	うず	過|鍋	すぎる|なべ
1	糸	いと	系|紐	けい|ひも
1	謎	なぞ	迷|謀	まよう|はかる
1	罠	わな	民|眠	たみ|ねむる
1	棘	とげ	棗|束	なつめ|たば
1	枝	えだ	技|岐	わざ|ちまた
1	影	かげ	彰|彫	あきらか|ほる
1	粥	かゆ	弱|溺	よわい|おぼれる
1	茜	あかね	晒|西	さらす|にし
1	軸	じく	油|袖	あぶら|そで
1	杓	しゃく	約|釣	やく|つる
1	種	たね	腫|踵	はれる|かかと
1	茎	くき	径|経	こみち|へる
1	肝	きも	汗|肛	あせ|こう
1	床	ゆか	麻|序	あさ|じょ
1	額	ひたい	顔|客	かお|きゃく
1	錘	おもり	睡|垂	ねむる|たれる
1	珠	たま	朱|株	あけ|かぶ
1	灯	あかり	釘|打	くぎ|うつ
1	籠	かご	龍|寵	りゅう|ちょう
1	紙	かみ	低|氏	ひくい|うじ
1	噂	うわさ	樽|遵	たる|したがう
1	露	つゆ	路|霧	みち|きり
1	蟹	かに	解|懈	とく|おこたる
1	椿	つばき	榛|春	はしばみ|はる
1	瓦	かわら	互|瓶	たがい|びん
1	柄	え	丙|病	ひのえ|やまい
1	壺	つぼ	壱|臺	いち|うてな
1	綿	わた	錦|帛	にしき|きぬ
1	焔	ほのお	淡|談	あわい|だん
1	飴	あめ	始|治	はじめ|おさめる
1	沼	ぬま	招|昭	まねく|あきら
1	猪	いのしし	諸|著	もろ|あらわす
1	闇	やみ	間|暗	あいだ|おと
1	梢	こずえ	稍|消	やや|けす
1	茸	きのこ	葺|耳	ふく|みみ
1	筋	すじ	肋|脇	あばら|わき
1	皮	かわ	波|彼	なみ|かれ
1	骨	ほね	滑|猾	すべる|ずるい
1	餅	もち	併|瓶	あわせる|びん
1	竹	たけ	竺|笑	じく|わらう
1	松	まつ	公|訟	おおやけ|うったえる
1	楠	くす	南|献	みなみ|ささげる
1	杉	すぎ	材|彩	ざい|いろどり
1	柳	やなぎ	卯|仰	う|あおぐ
1	楢	なら	猶|酋	なお|おさ
1	榎	えのき	夏|厦	なつ|おおや
1	梅	うめ	海|悔	うみ|くいる
1	杏	あんず	呆|困	あきれる|こまる
1	椎	しい	推|誰	おす|だれ
1	鮫	さめ	校|効	くらべる|きく
1	鯨	くじら	京|涼	みやこ|すずしい
1	猿	さる	援|暖	たすける|あたたかい
1	羊	ひつじ	美|善	うつくしい|よい
1	兎	うさぎ	免|逸	まぬがれる|それる
1	鷲	わし	就|蹴	つく|ける
1	鷹	たか	應|雁	こたえる|かり
1	蚊	か	文|紋	ふみ|もん
1	牡	おす	杜|社	もり|やしろ
1	麻	あさ	磨|麿	みがく|まろ
1	粉	こな	貧|盆	まずしい|ぼん
1	米	こめ	迷|粟	まよう|あわ
1	酢	す	作|昨	つくる|きのう
1	池	いけ	地|他	つち|ほか
1	湖	みずうみ	胡|糊	えびす|のり
1	泉	いずみ	白|線	しろ|すじ
1	磯	いそ	幾|機	いく|はた
1	岩	いわ	石|碧	いし|あお
1	森	もり	林|禁	はやし|いましめ
1	丘	おか	兵|岳	つわもの|たけ
1	谷	たに	容|浴	いれる|あびる
1	瓶	びん	併|餅	あわせる|もち
1	穴	あな	究|空	きわめる|そら
1	雌	めす	此|紫	これ|むらさき
1	芽	め	牙|邪	きば|よこしま
1	葉	は	蝶|諜	ちょう|さぐる
1	剣	つるぎ	倹|険	つましい|けわしい
1	刀	かたな	刃|召	やいば|めす
1	鎧	よろい	凱|愷	かちどき|たのしむ
1	兜	かぶと	免|鬼	まぬがれる|おに
1	扇	おうぎ	煽|扉	あおる|とびら
1	罰	ばつ	罪|罠	つみ|わな
1	禍	わざわい	渦|過	うず|すぎる
1	鏡	かがみ	境|憬	さかい|あこがれる
1	鋼	はがね	綱|剛	つな|つよい
1	根	ね	恨|限	うらむ|かぎる
1	帳	とばり	張|脹	はる|ふくらむ
1	苗	なえ	猫|描	ねこ|えがく
1	艶	つや	豊|色	ゆたか|いろ
1	魚	さかな	魯|漁	おろか|あさる
1	鳥	とり	烏|島	からす|しま
1	卵	たまご	卯|即	う|すぐ
1	鶏	にわとり	奚|渓	なんぞ|たに
1	鳩	はと	鴇|九	とき|ここのつ
1	芝	しば	之|乏	これ|とぼしい
1	菊	きく	鞠|麹	まり|こうじ
1	藻	も	操|燥	あやつる|かわく
1	稗	ひえ	碑|婢	いしぶみ|はしため
1	穂	ほ	恵|慧	めぐみ|さとい
1	黄	き	横|廣	よこ|ひろい
1	緋	ひ	悲|扉	かなしい|とびら
1	紺	こん	甘|柑	あまい|かん
1	紫	むらさき	柴|雌	しば|めす
1	緑	みどり	録|縁	しるす|ふち
1	紅	べに	虹|江	にじ|え
1	銀	ぎん	限|根	かぎる|ね
1	鉄	てつ	失|矢	うしなう|や
1	眉	まゆ	盾|看	たて|みる
1	耳	みみ	恥|聴	はじ|きく
1	口	くち	回|品	まわる|しな
1	腹	はら	複|復	かさなる|もどる
1	指	ゆび	脂|旨	あぶら|むね
1	唇	くちびる	辱|辰	はずかしめる|とき
1	尻	しり	尼|尽	あま|つくす
1	頬	ほほ	峡|狭	かい|せまい
1	乳	ちち	浮|孵	うく|かえす
1	角	つの	解|触	とく|ふれる
1	脳	のう	悩|胸	なやむ|むね
1	桜	さくら	楼|桉	ろう|あん
1	会釈	えしゃく	会尺|会爵	かいしゃく|えさく
1	郵便	ゆうびん	郵瓶|遊便	ゆうべん|ゆうひん
1	鉛筆	えんぴつ	沿筆|延筆	えんひつ|えんびつ
1	卒業	そつぎょう	卒行|率業	そつきょう|そつごう
1	宿題	しゅくだい	祝題|縮題	しゅくたい|じゅくだい
1	飛行機	ひこうき	非行機|肥行機	びこうき|ひこうぎ
1	自転車	じてんしゃ	辞典車|時転車	してんしゃ|じでんしゃ
1	運転	うんてん	雲転|運点	うんでん|うんてい
1	玄関	げんかん	原関|玄官	けんかん|げんせき
1	弁当	べんとう	勉当|弁倒	へんとう|べんどう
1	雨具	あまぐ	尼具|甘具	あめぐ|あまく
1	石鹸	せっけん	石拳|雪拳	せきけん|いしけん
1	洗車	せんしゃ	線車|先車	せんじゃ|せんさ
1	風船	ふうせん	風線|風銭	ふせん|ふうぜん
1	図書館	としょかん	都書館|図諸館	ずしょかん|とじょかん
1	裁判	さいばん	裁版|才番	さいはん|ざいばん
1	薬局	やっきょく	役局|躍局	やくきょく|やっこく
1	玄米	げんまい	玄枚|源米	けんまい|げんばい
1	仏壇	ぶつだん	仏段|物壇	ふつだん|ぶっだん
1	観光	かんこう	観校|看光	がんこう|かんごう
1	防災	ぼうさい	防才|房災	ほうさい|ぼうざい
1	下駄	げた	下多|外田	けた|げだ
1	防犯	ぼうはん	防判|坊犯	ほうはん|ぼうばん
1	財布	さいふ	再付|才布	ざいふ|さいぶ
1	宿泊	しゅくはく	祝泊|宿白	しゅくばく|しゅっぱく
1	洗面所	せんめんじょ	選面所|線面所	せんめんしょ|せんべんじょ
1	冷蔵庫	れいぞうこ	冷造庫|霊蔵庫	れいそうこ|れいぞうご
1	掃除機	そうじき	操字機|掃字機	そうしき|そうじぎ
1	炊飯器	すいはんき	水飯器|推飯器	すいばんき|すいはんぎ
1	電卓	でんたく	電宅|伝託	てんたく|でんだく
1	睡眠	すいみん	睡民|水眠	ずいみん|すいめん
1	健康	けんこう	健交|健光	げんこう|けんごう
1	眼科	がんか	眼歌|願科	かんか|がんが
1	火災	かさい	火才|加災	がさい|かざい
1	消防車	しょうぼうしゃ	消暴車|消防舎	しょうほうしゃ|しょうぼうじゃ
1	雨傘	あまがさ	甘傘|尼傘	あめがさ|あまかさ
1	弁護士	べんごし	便護士|弁語士	へんごし|べんこし
1	黒板	こくばん	国板|黒盤	こくはん|くろばん
1	教室	きょうしつ	強室|教質	きょうじつ|ぎょうしつ
1	交通	こうつう	交痛|口通	ごうつう|こうづう
1	台風	たいふう	太風|大封	だいふう|たいぶう
1	暖房	だんぼう	暖棒|談房	たんぼう|だんほう
1	冷房	れいぼう	霊棒|零房	れいほう|りょうぼう
1	長靴	ながぐつ	永靴|長屈	ながくつ|ちょうぐつ
1	運動会	うんどうかい	雲動会|運童会	うんとうかい|うんどうがい
1	寝袋	ねぶくろ	音袋|値袋	ねふくろ|ねぶころ
1	警報	けいほう	警法|敬砲	けいぼう|げいほう
1	飛行場	ひこうじょう	非行場|飛行城	びこうじょう|ひこうしょう
1	新幹線	しんかんせん	新幹船|心幹線	じんかんせん|しんがんせん
1	消防士	しょうぼうし	消暴士|小帽子	しょうほうし|しょうぼうじ
1	改札口	かいさつぐち	会札口|改察口	かいざつぐち|かいさつくち
1	計算機	けいさんき	経産機|計山機	けいざんき|けいさんぎ
1	入学式	にゅうがくしき	入岳式|乳学式	にゅうかくしき|にゅうがくじき
1	宿舎	しゅくしゃ	祝舎|宿車	じゅくしゃ|しゅくじゃ
1	水族館	すいぞくかん	水続館|粋族館	すいそくかん|すいぞくがん
1	途中	とちゅう	途忠|渡中	どちゅう|とじゅう
1	夜景	やけい	矢景|夜径	よけい|やげい
1	電池	でんち	電地|伝知	てんち|でんじ
1	換気扇	かんきせん	歓喜扇|換気船	がんきせん|かんぎせん
1	箸	はし	筈|著	はず|はじ
2	煙草	たばこ	煙葉|煙菅|煙香|煙花|火草	えんぞう|けむりぐさ|えんくさ|けむりそう|たばく
2	玩具	おもちゃ	遊具|玩偶|遊器|玩器|児具	あそびぐ|もてあそび|おもぐ|がんき|もてぐ
2	烏賊	いか	烏貝|鳥賊|烏魚|烏甲|墨魚	うぞく|からすいか|とりぞく|うか|からすか
2	河豚	ふぐ	川豚|河魚|海豚|河鮒|川魚	かどん|かわぶた|こうとん|かわふぐ|かふく
2	胡瓜	きゅうり	古瓜|胡果|胡有|小瓜|胡実	こか|こうり|こきゅう|こが|くるみ
2	南瓜	かぼちゃ	南京|南果|南瓜瓜|甘瓜|夏瓜	みなみか|みなみうり|なんうり|なんが|かぼうり
2	硯	すずり	墨|砥|碩|皿|硝	いし|いしずり|すずろ|せき|すずる
2	襖	ふすま	障|扉|衽|襦|帳	しょうじ|ふくま|ふすも|しょう|ふすめ
2	菖蒲	しょうぶ	菖武|尚蒲|菖部|菖歩|蒲菖	しょうほ|しょうふ|しょうぼ|しょうほう|しょうほく
2	桔梗	ききょう	吉梗|桔京|橘梗|吉郷|桔郷	きつきょう|きっこう|けっこう|きこう|ききょ
2	鴎	かもめ	鴨|鷺|鶴|鵠|鴫	うみどり|こう|かも|かもどり|かもう
2	鶯	うぐいす	鴬鳥|黄鳥|鴨|鵯|鶫	はるどり|おうちょう|うぐい|きょう|うぐりす
2	箪笥	たんす	単笥|箪子|段笥|箪司|箪簀	たんし|だんす|たんず|たんそう|だんし
2	木枯らし	こがらし	木涸らし|木凅らし|木風らし|小枯らし|木荒らし	きがらし|もくこらし|こかれし|きこがらし|こがれし
2	暖簾	のれん	暖連|暖廉|軒簾|野簾|暖幕	だんれん|だんれい|のきすだれ|なんれん|だんす
2	土筆	つくし	土笛|土箒|土穂|土芽|筆草	とひつ|つちふで|どふで|つちひつ|どひ
2	蒲公英	たんぽぽ	蒲公花|蒲英|蒲黄英|蒲公草|蒲光英	ぶこうえい|がまこうえい|たんこうえい|ほこうよう|かばこうえい
2	道標	みちしるべ	道印|路標|道表|道札|道路標	どうしめ|みちしめ|どうしるべ|みちひょう|ろひょう
2	秋桜	こすもす	秋草|秋櫻|秋花|秋桃|秋英	しゅうおう|しゅうざくら|あきさくら|しゅうそう|あきおう
2	湖畔	こはん	湖半|湖辺|湖岸|湖浜|湖版	こへん|こがん|こばん|みずぎわ|こは
2	薔薇	ばら	芭羅|薔羅|草薇|花薇|薇薔	ばしょう|そうら|ばり|しょうら|ばろ
2	銀杏	いちょう	銀案|銀梧|銀葉|金杏|銀実	いちょうば|ぎんあん|きんきょう|ぎんよう|ぎんこう
2	蜻蛉	とんぼ	蜓蛉|青蛉|蜉蝣|虫蛉|蜻虫	とんぼむし|とんろ|せいちゅう|とんれい|せいえん
2	海豚	いるか	海獣|海鯨|海馬|海魚|海狸	うみぶた|うみか|かいげい|いるこ|かいぶた
2	土竜	もぐら	土陵|地竜|穴竜|土蛇|地龍	どりょう|つちりゅう|どらごん|もぐり|つちたつ
2	河馬	かば	川馬|河鹿|河牛|海馬|河獣	かま|こうば|かわうま|かわま|かうま
2	駱駝	らくだ	楽駄|駱馬|駝馬|駱陀|路駝	らくた|らくだん|らくば|ろくだ|らくてい
2	海星	ひとで	海手|海星魚|星魚|海花|海指	かいせい|うみて|かいしん|ほしで|うみせい
2	海月	くらげ	水月|海影|月海|海月魚|海月虫	うみのつき|うみづき|すいげつ|みづき|かいげ
2	五月雨	さみだれ	皐月雨|五月水|五月雫|早月雨|梅月雨	ごがつあめ|ごがつさめ|ごげつう|さみあめ|さつきさめ
2	時雨	しぐれ	秋雨|時露|時雨れ|四暮|時雫	ときう|ときあめ|しぐる|じあめ|ときさめ
2	陽炎	かげろう	陽焔|日炎|陽影|光炎|陽火	ようほのお|ひかげ|ようかげ|ひえん|こうえん
2	流石	さすが	流岩|留石|流砂|流水石|流磯	りゅうせき|ながれいし|るせき|りゅうじゃく|ながれいわ
2	仲人	なこうど	中人|仲介|仲媒|仲者|中媒	ちゅうじん|なかもの|なかにん|ちゅうばい|なかじん
2	若人	わこうど	若者|若子|和人|弱人|幼人	じゃくじん|わかひと|わかじん|じゃくにん|わこうじん
2	欠伸	あくび	欠身|開口|欠息|欠鼻|欠気	けっしん|けっし|かけのび|けつしん|あくしん
2	予め	あらかじめ	預め|予じめ|予かじめ|前め|先め	よめ|よじめ|あらため|あらかじ|よしめ
2	概ね	おおむね	大ね|慨ね|概め|既ね|凡ね	がいね|おおむな|がいりゃく|おおね|がいむね
2	芹	せり	苧|菫|茅|葱|荵	みつば|せん|せい|きり|せに
2	忖度	そんたく	損得|尊託|忖托|村宅|寸度	そんど|ぞんたく|そんどく|そんだく|すんど
2	如何	いかが	何如|以何|何故|何可|何処	にょか|いなん|いじょ|なにが|いかほど
2	慟哭	どうこく	動哭|働刻|慟黒|童哭|働哭	どうごく|とうこく|どうなき|どうぐう|どうこつ
2	蕗	ふき	苔|苧|蕨|葺|葱	ふきのとう|きょう|ふうき|ぶき|ふう
2	狡猾	こうかつ	巧猾|狡活|狡滑|狡闊|巧活	こうけつ|こうかち|こうわつ|こうがつ|きょうかつ
2	躓く	つまずく	蹉く|蹌く|跪く|跌く|蹴く	ちくずく|ちまずく|ちつく|しつく|ちゅうずく
2	迂闊	うかつ	迂活|右闊|迂滑|迂喝|有闊	うかち|ゆうかつ|うけつ|うわつ|うがつ
2	膠着	こうちゃく	硬着|交着|高着|膠直|硬直	きょうちゃく|こうじゃく|こうしゅう|こうちょく|きょうじゃく
2	太刀魚	たちうお	太刀尾|立刀魚|大刀魚|太地魚|太刀鰯	たいとうお|たちぎょ|たいうお|だちうお|たちいお
2	踏襲	とうしゅう	踏習|登襲|踏修|踏周|踏蹴	とうしゅ|とうじゅう|とうそう|ふみならい|とうしゅく
2	蕨	わらび	薇|苔|荵|薺|葺	わらびもち|らい|わら|わらく|かぶら
2	逼迫	ひっぱく	必迫|逼白|筆迫|逼薄|逼拍	ひつはく|ひひゃく|ひっぽう|ふっぱく|ひつばく
2	錯綜	さくそう	錯想|作綜|策争|錯送|索相	さっそう|さくぞう|さくしょう|さくろう|さっしょう
2	山茶花	さざんか	山茶|山椿|茶山花|山茶香|山花茶	さんちゃげ|やまさか|やまちゃか|さんちゃ|さんざんか
2	沈丁花	じんちょうげ	沈香花|沈頂花|沈丁草|沈町花|沈香	ちんていげ|じんこうげ|じんていか|じんちょうか|しんちょうげ
2	金木犀	きんもくせい	金木星|金犀|金木香|金犀花|金木青	きんもくしょう|かねきせい|きんぼくせい|きんもくさい|きんきせい
2	梟	ふくろう	鷹|鷲|鳶|鵂|鴟	よるどり|もくちょう|ふうきょう|こう|ふくちょう
2	雁	かり	鴨|鴇|鴫|鷺|鶴	が|かん|がんどり|かりどり|かも
2	隼	はやぶさ	鷹|鷲|鳶|鶻|鵙	たか|はやとり|そくちょう|しゅんちょう|はやたか
2	鴫	しぎ	鷺|鴇|鴨|鵙|鶫	ちょう|きょう|しぎどり|ししぎ|しさぎ
2	鷺	さぎ	鴫|鴇|鶴|鵠|鶫	しらどり|はくちょう|さぎどり|ろちょう|さき
2	宴	うたげ	饗|筵|燕|縁|艶	えんかい|えんせき|えんげ|うたえ|えんか
2	鰹	かつお	鯖|鰤|鮪|鯵|鰆	けんぎょ|しょうぎょ|かたうお|かつうお|かつぎょ
2	鮪	まぐろ	鰹|鰤|鯖|鱒|鰆	せんい|せんぎょ|しんこく|まくろ|ゆうぎょ
2	鰤	ぶり	鯖|鱒|鮎|鰆|鯵	せり|かり|あゆ|ふぐ|さば
2	道程	みちのり	道則|道乗|道法|道里|路程	どうてん|みちほど|どうじょう|みちてい|ろてい
2	早瀬	はやせ	速瀬|早川|早背|早迫|疾瀬	そうらい|そうせ|はやぜ|はやば|しっせ
2	淀み	よどみ	淵み|淀む|淀め|余止み|夜止み	ていみ|よどむ|よどめ|よどまい|よとみ
2	鰻	うなぎ	鱧|鰌|穴子|海蛇|鱔	かばやき|うなうお|かいじゃ|うなぎょ|ぬめりうお
2	秋刀魚	さんま	秋刀|秋魚|秋太魚|秋刃魚|秋鰯	しゅうとうぎょ|あきたちうお|しゅうぎょ|あきうお|さんとうぎょ
2	谷間	たにま	谷合|谷際|山間|谷中|谷地	こっかん|こくかん|たにあわい|やまあい|たにめ
2	鰈	かれい	鰹|鯛|鰤|鮃|鱈	ひらめ|かれうお|かれえ|かれいぎょ|かれ
2	牛蒡	ごぼう	牛棒|午房|牛房|午蒡|牛防	ぎゅうぼう|うしぼう|ごほう|ごぼ|ぎゅうぼ
2	蓮根	れんこん	蓮子|蓮茎|連根|蓮実|蓮芋	れんね|れんけい|れんし|はすこん|れんげん
2	蕪	かぶ	蕪草|葱|芋|薯|菁	こかぶ|あおな|かぶな|かぶれ|かふ
2	茄子	なす	菜子|夏子|茄実|成子|茄菜	かし|かす|かじつ|なこ|なすこ
2	筍	たけのこ	竹|笙|旬|箏|笥	たけ|ちくじゅん|たけご|ちくし|ささこ
2	茗荷	みょうが	明荷|名荷|茗花|茗香|明花	めいか|みょうか|めいが|みょうかく|みょうけ
2	山椒	さんしょう	山生|山消|三小|山性|山松	やまこしょう|さんせい|さんじょう|やましょう|さんぞう
2	柚子	ゆず	油子|柚実|柚木|由豆|遊子	ゆうし|ゆうず|ゆし|ゆずこ|ゆづ
2	鴇	とき	鵙|鵯|鶫|鶉|鷭	こう|しゅろ|ときどり|じゅき|とぎ
2	鱒	ます	鯉|鮭|鯵|鰤|鰆	さかな|ますうお|ぞう|ますだい|しょう
2	枇杷	びわ	枇把|枇葉|木琶|琵葉|枇和	ひは|びば|ひわ|びよう|びは
2	金柑	きんかん	金甘|金桔|金果|銀柑|金坎	きんこう|きんか|きんきつ|かねかん|きんこん
2	鱈	たら	鯛|鰤|鰈|鯵|鰆	たらちり|たろ|たらうお|だら|たらこ
2	穴子	あなご	穴魚|海子|穴鰻|穴児|穴仔	けっし|あなうお|かいし|あなぎ|うなご
2	沢庵	たくあん	沢安|卓庵|沢案|宅庵|沢杏	さわあん|たくやす|たくあ|さわくら|たっくあん
2	敢えて	あえて	合えて|敢えで|敢えず|敢いで|敢って	かんえて|あえで|かんで|あいえて|かんえ
2	厳か	おごそか	重か|荘か|厳そか|恐か|厳重か	げんじゅう|いかめしい|きびしい|おごそ|げんか
2	艶やか	あでやか	艶か|艶めく|艶らか|艶やけ|彩やか	つやらか|えんやか|あでか|あでめく|つやか
2	華奢	きゃしゃ	華者|華紗|華斜|華写|花奢	かしゃく|けしゃ|きゃしゃな|きゃさ|きゃし
2	清々しい	すがすがしい	清がしい|晴々しい|涼々しい|澄々しい|爽々しい	せいせいしい|きよきよしい|さやさやしい|すずすずしい|すみずみしい
2	拙い	まずい	拙味い|拙な|拙し|未熟い|拙らい	せつい|へつらい|せつない|まずし|せつな
2	疎い	うとい	薄い|疎かい|遠い|疎らい|疎遠い	そい|うすい|とおい|そかい|まばらい
2	滅多	めった	滅体|滅他|滅田|滅大|滅打	めつた|めったい|めつだ|めったく|めつだい
2	無闇	むやみ	無闇に|無闇矢鱈|無夜見|無矢見|無闇打ち	むえん|むやく|むあみ|むどう|むやま
2	鰯	いわし	鯵|鰊|鰹|鱒|鮗	いしうお|がんぎょ|いわうお|いわじ|せきぎょ
2	鯵	あじ	鰯|鯖|鱒|鰆|鱈	しょう|み|あじうお|さば|かいみ
2	鯖	さば	鯵|鰯|鰤|鮫|鰆	せいぎょ|あおうお|さめ|さばうお|あおざかな
2	鮭	さけ	鱒|鰤|鯖|鰆|鱈	さかな|さか|さけうお|せい|しゅぎょ
2	鯛	たい	鱈|鰈|鯉|鯵|鰤	めでたい|だい|たいぎょ|ひらうお|たいうお
2	為替	かわせ	為換|替為|川替|貨替|換替	かいか|ためかえ|いかえ|かわせい|かわがえ
2	心算	つもり	心積|心図|心測|心勘|芯算	しんかん|こころざん|しんさく|しんりょう|こころさん
2	草鞋	わらじ	草履|藁履|草靴|藁靴|縄履	そうかい|くさぐつ|そうか|わらぐつ|くつわら
2	頭巾	ずきん	頭布|頭覆|頭衣|頭襟|頭帽	とうきん|ずこん|とうふ|とうい|あたまぎん
2	法被	はっぴ	羽被|法衣|法着|法羽|羽法	ほうひ|ほうひつ|ほうぎ|はんぴ|のりひ
2	羽織	はおり	羽衣|羽折|上織|羽被|羽帯	うい|はおれ|うしょく|はおい|はこう
2	行李	こうり	行理|行里|行利|行箱|行荷	ぎょうり|こうりょう|ゆきさと|あんり|こうれい
2	葛籠	つづら	葛箱|葛蔵|藤籠|葛櫃|蔓籠	かつろう|かつこ|くずろ|ふじかご|かつら
2	雪駄	せった	雪履|雪足|雪下|雪草履|雪沓	せつだ|ゆきだ|せつた|せっか|ゆきた
2	半纏	はんてん	半点|半被|半衣|羽纏|半展	はんて|はんけん|はんじん|はんしん|はんでん
